"Municipality","Constituency","Party","Name","Name_hanja","Gender","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","PR_Ranking","MRPR"
"경상남도 ","밀양시의령군함안군창녕군","국민의힘","박상웅","朴相雄","남","1960-08-16",63,"경상남도 밀양시 시청서4길","정당인","서울대학교 사범대학 사회교육학과 졸업","(전)제20대 대통령직인수위원회 기획조정분과 자문위원(전)자유한국당 인재영입위원",96450,66.85,NA,"MR"
"경상남도 ","거제시","국민의힘","서일준","徐一俊","남","1965-05-10",58,"경상남도 거제시 중곡로","국회의원","서울시립대학교 일반대학원 행정학과 졸업(행정학박사)","(현)제21대 국회의원(전)제20대 대통령직 인수위원회 행정실장",65590,51.23,NA,"MR"
"경상남도 ","양산시갑","국민의힘","윤영석","尹永碩","남","1964-10-07",59,"경상남도 양산시 물금읍 야리로","국회의원","미국 듀크대학교 대학원(국제발전정책학전공)졸업(문학석사)(2002.07.~2004.06.)","(현)국회의원(제19대,제20대,제21대)(현)국회 첨단전략산업 특별위원회 위원장",53560,53.61,NA,"MR"
"경상남도 ","양산시을","국민의힘","김태호","金台鎬","남","1962-08-21",61,"경상남도 양산시 삼호로","국회의원","서울대학교 대학원 졸업(교육학박사)","(현)제21대 국회의원(전)제32대·제33대 경상남도도지사",50685,51.05,NA,"MR"
"경상남도 ","산청군함양군거창군합천군","국민의힘","신성범","慎聖範","남","1963-06-01",60,"경상남도 거창군 거창읍 동동3길","정치인","서울대학교 사회과학대학 인류학과 졸업","(전)제18대, 제19대 국회의원(전)국회 교육문화체육관광위원회 간사",75582,70.99,NA,"MR"
"제주특별자치도 ","제주시갑","더불어민주당","문대림","文大林","남","1965-11-22",58,"제주특별자치도 제주시 애월읍 하귀9길","정당인","제주대학교 대학원 법학과 졸업(법학석사)","(전)문재인정부 청와대비서관(현)더불어민주당 전략기획위원회 부위원장",78776,62.88,NA,"MR"
"제주특별자치도 ","제주시을","더불어민주당","김한규","金翰奎","남","1974-07-01",49,"제주특별자치도 제주시 중앙로","국회의원","하버드대학교 로스쿨 법학석사(2011.8.~2012.5.)","(현)제주시을 국회의원(전)대통령비서실 정무비서관",78774,64.64,NA,"MR"
"제주특별자치도 ","서귀포시","더불어민주당","위성곤","魏聖坤","남","1968-01-20",56,"제주특별자치도 서귀포시 태평로","국회의원","제주대학교 농과대학 졸업","(현) 국회의원(제20·21대)(전) 제주대학교 총학생회장",53831,54,NA,"MR"
NA,NA,"더불어민주연합","서미화","徐美和","여","1967-11-06",56,"전라남도 목포시 남악1로","정당인","조선대학교 대학원 사회복지학박사","(전)국가인권위원회 비상임위원(전)한국여성장애인연합 전남지부 대표",NA,NA,1,"PR"
NA,NA,"더불어민주연합","위성락","魏聖洛","남","1954-09-14",69,"경기도 양평군 강하면 임실길16번길","정당인","서울대학교 외교학과 졸업","(전)주 러시아대사관 대사(전)한반도평화교섭 본부장",NA,NA,2,"PR"
NA,NA,"더불어민주연합","백승아","白承婀","여","1985-02-25",39,"강원특별자치도 원주시 배울로","정당인","춘천교육대학교 초등교육학과 졸업","(전)강원교사노조위원장(전)교사노조연맹사무처장",NA,NA,3,"PR"
NA,NA,"더불어민주연합","임광현","林光鉉","남","1969-05-12",54,"서울특별시 종로구 평창문화로","세무사","연세대학교 경제학과 졸업","(전)참여정부 청와대 경제정책비서관실 행정관(전)국세청 차장",NA,NA,4,"PR"
