"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"경기도","화성시병","1","권칠승","權七勝","남",0,1,"더불어민주당","1965-11-18",58,"경기도 화성시 병점2로","국회의원(화성시병)","고려대학교 경제학과 졸업","(현)더불어민주당 수석대변인(전)중소벤처기업부 장관",80110,61.53,1
"경기도","화성시병","2","최영근","崔永根","남",0,1,"국민의힘","1959-09-13",64,"경기도 화성시 봉담읍 동화길","정당인","경희대학교 NGO대학원 수료(NGO정책/관리전공 석사과정)","(전)화성시장(2005년-2010년)(전)제33회 행정고등고시 합격",48360,37.14,0
"경기도","화성시병","7","신상철","申相澈","남",0,1,"무소속","1953-05-06",70,"경기도 화성시 한신대길","목사","서울한영대학교 대학원 졸업(철학박사)","(전)오산시기독교총연합회 연합회장(현)사단법인 경기도기독교총연합회 상임회장",1709,1.31,0
"경기도","화성시정","1","전용기","田溶冀","남",0,1,"더불어민주당","1991-10-26",32,"경기도 화성시 동탄순환대로19길","제21대 국회의원(비례대표)","한양대학교 대학원 졸업(경영컨설팅학석사)","(현) 국회의원(비례대표)(전) 더불어민주당 원내부대표",62457,55.72,1
"경기도","화성시정","2","유경준","兪京濬","남",0,1,"국민의힘","1961-06-17",62,"경기도 화성시 동탄시범한빛길","국회의원","미국 코넬대학교 노동경제학과 (경제학박사) (1991.8.~1995.8.)","(현) 제21대 국회의원(전) 제15대 통계청장",38207,34.09,0
"경기도","화성시정","7","이원욱","李元旭","남",0,1,"개혁신당","1963-03-20",61,"경기도 화성시 동탄반석로","제21대 국회의원","고려대학교 법학과 졸업","(현) 제21대 국회의원(3선)(현) 노무현재단 기획위원",10344,9.22,0
"경기도","화성시정","8","이준희","李濬凞","남",0,1,"무소속","1973-05-10",50,"경기도 화성시 동탄순환대로29길","공인행정사","경희대학교 경영학부 중퇴(1992.3.2.~1999.6.16.)","(전) 국세공무원(현) 공인행정사(외교안보경제정책자문)",1063,0.94,0
"경기도","광주시갑","1","소병훈","蘇秉勳","남",0,1,"더불어민주당","1954-06-03",69,"경기도 광주시 회안대로","국회의원","성균관대학교 철학과 졸업","(현)제20대·21대 국회의원(현)국회 농림축산식품해양수산위원회 위원장",58631,56.33,1
"경기도","광주시갑","2","함경우","咸炅佑","남",0,1,"국민의힘","1974-08-19",49,"경기도 광주시 회안대로","정당인","고려대학교 대학원 북한학과 졸업(문학박사)","(전)대통령당선인 비서실 상근보좌역(전)국민의힘 조직부총장(사무부총장)",45443,43.66,0
"경기도","광주시을","1","안태준","安泰俊","남",0,1,"더불어민주당","1969-12-03",54,"경기도 광주시 초월읍 경충대로1127번길","정당인","고려대학교 불어불문학과 졸업","(전)GH경기주택도시공사 사장 직무대행(현)더불어민주당 대변인",57935,55.06,1
"경기도","광주시을","2","황명주","黃明柱","남",0,1,"국민의힘","1972-05-22",51,"경기도 광주시 곤지암읍 신만로","정당인","단국대학교 대학원 행정학과 졸업(행정학박사)","(현)국민의힘 광주시(을) 조직위원장(현)국민의힘 여의도 연구원 정책자문위원",47275,44.93,0
"경기도","포천시가평군","1","박윤국","朴允國","남",0,1,"더불어민주당","1956-04-12",67,"경기도 포천시 영북면 운천안1길","정당인","명지대학 (현, 명지대학교) 토목공학과 졸업","(전)3선 포천시장(초대·2·7대)(전)제4대 경기도의회의원",56715,48.36,0
"경기도","포천시가평군","2","김용태","金龍泰","남",0,1,"국민의힘","1990-10-21",33,"경기도 포천시 원모루로1길","정당인","고려대 그린스쿨대학원 에너지환경정책학 석사 졸업","(전) 국민의힘 청년최고위원(전) 윤석열 대통령직 인수위원회 자문위원",59192,50.47,1
"경기도","포천시가평군","7","최영록","崔永祿","남",0,1,"개혁신당","1965-09-12",58,"경기도 가평군 가평읍 태봉두밀로406번길","(주)모코건설 대표이사","경북대학교 법과대학 사법학과 졸업","(전)제18대 국회의원 후보(전)제19대 국회의원 후보",1362,1.16,0
"경기도","여주시양평군","1","최재관","崔在寬","남",0,1,"더불어민주당","1968-12-18",55,"경기도 여주시 여흥로33번길","정당인","서울대학교 농생물학과 졸업","(전) 대통령비서실 농어업비서관(전) 더불어민주당 여주시양평군 지역위원장",64893,46.41,0
